Id,Model,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,CC,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Total_Distance,Car_Age,Mileage
193,TOYOTA Corolla 1.8D Stationwagen,,1,2001,156204,Diesel,,0,White,0,1800,,,,,1110,0,0,3,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,6966080,23,6883.478261
1053,TOYOTA Corolla 2.0D LINEA TERRA+airco 2/3-Doors,,7,1998,200732,Diesel,,1,Black,0,2000,3,,,,1135,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,15040796,26,7817.461538
396,TOYOTA Corolla 1.8D Stationwagen,,1,2000,128960,Diesel,,0,White,0,1600,,,,,1110,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7232680,24,5381.458333
194,TOYOTA Corolla 1.8D 4/5-Doors,,1,2001,130270,Diesel,,1,Silver,0,1800,,,,,1110,0,0,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5776012,23,5707.521739
405,TOYOTA Corolla 2.0D 4/5-Doors,,1,2000,113700,Diesel,,1,Green,0,2000,,,,,1135,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6383832,24,4749.875
1099,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,,9,1998,126452,Petrol,110,1,Green,0,1600,,,,,1035,0,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,9106416,26,4864.538462
1052,TOYOTA Corolla 1.6 LB *G3* AIRCO 4/5-Doors,,2,1998,205000,CNG,110,1,Black,0,1600,,,,197,1114,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,16362006,26,7965.923077
1080,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,,6,1998,145996,Petrol,,0,Blue,0,1300,3,,,,1015,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,10964775,26,5622.961538
1069,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,,7,1998,158492,Petrol,110,0,Red,0,1600,3,,,,1050,0,1,3,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,11833192,26,6150.307692
1119,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,,8,1998,115715,Petrol,110,0,White,0,1600,,,,,1035,0,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8459021,26,4456.807692
1058,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,,5,1998,180638,Diesel,,0,Black,0,2000,3,,,185,1115,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13929052,26,7049.115385
613,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,,2,1999,174139,Diesel,,0,Red,0,2000,,,,185,1100,0,1,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,11713811,25,6993.32
1066,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,,3,1998,161000,Petrol,,1,Black,0,1300,3,,,,1015,0,1,3,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,12618450,26,6222.115385
1358,TOYOTA Corolla 1.3 I LUNA 2/3-Doors,,11,1998,60558,Petrol,,0,White,0,1300,3,,,,1055,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4242000,26,2330.769231
1049,TOYOTA Corolla 2.0 DSL WAGON LINEA TERRA COMM Anders,,8,1998,218118,Diesel,,0,Grey,0,2000,,,,,1170,0,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17004620,26,8959.230769
1280,TOYOTA Corolla 1.3i LINEA TERRA 2/3-Doors,,6,1998,74500,Petrol,,1,Red,0,1300,3,,,,1015,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5592525,26,2867.961538
1244,TOYOTA Corolla 1.3 HB LINEA TERRA 2/3-Doors,,3,1998,82421,Petrol,,1,Blue,0,1300,3,,,,1015,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6442410,26,3176.730769
1141,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,,9,1998,105699,Petrol,,0,White,0,1300,3,,,,1015,0,1,3,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,7621632,26,4071.384615
1081,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,,4,1998,144521,Petrol,110,0,Grey,0,1600,,,,,1035,0,1,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,11241692,26,5615.230769
1273,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,,10,1998,75048,Petrol,,0,Blue,0,1300,,,,,1035,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,5331035,26,2887.884615
1389,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,,12,1998,53773,Petrol,110,1,Grey,0,1600,3,,,,1050,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3712821,26,2069.576923
1320,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,,7,1998,68238,Petrol,110,1,Blue,0,1600,3,,,,1050,1,1,3,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,5053090,26,2626.346154
1061,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,,8,1998,176000,Petrol,110,1,Silver,0,1600,,,,,1075,0,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,12860921,26,6776.038462
1088,TOYOTA Corolla 2.0 ST WGN LINEA TERRA DSL Stationwagen,,10,1998,134539,Diesel,,0,White,0,2000,,,,,1135,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9560860,26,5179.230769
1304,TOYOTA Corolla 1.3 16v linea terra ,,2,1998,71200,Petrol,,0,Red,0,1300,3,,,,1015,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5629777,26,2740.884615
609,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,,1,1999,191620,Petrol,,0,Red,0,1300,,,,,1000,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13229060,25,7781.8
674,TOYOTA Corolla 1.3 16V Linea Terra 2/3-Doors,,10,1999,104805,Petrol,,1,Silver,0,1300,3,,,,1015,0,0,3,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,6195000,25,4200
1051,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,,3,1998,216000,Diesel,,1,Green,0,2000,,,,185,1135,1,1,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,16985592,26,8375.538462
1056,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,,1,1998,194545,Diesel,,0,Blue,0,2000,3,,,185,1120,0,1,3,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,15581200,26,7490.961538
1187,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,,1,1998,92498,Petrol,,1,Silver,0,1300,3,,,,1015,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7426400,26,3570.384615
619,TOYOTA Corolla 2.0diesel Stationwagen,,2,1999,147636,Diesel,,1,Blue,0,2000,,,,,1135,0,0,3,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,9983000,25,5960
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,,6,2000,197501,Diesel,,0,Red,0,1900,,,,185,1095,0,1,3,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,10106517,24,8256.958333
1162,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,,2,1998,99374,Petrol,,0,Blue,0,1300,,,,,1035,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,7852363,26,3822.961538
1107,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,,9,1998,123104,Petrol,110,1,Green,0,1600,3,,,,1050,1,1,3,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,8885016,26,4746.269231
1151,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,,6,1998,101791,Petrol,110,1,Grey,0,1600,,,,,1070,0,1,3,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,7639125,26,3917.5
